Name,University,Difficulty Level,Link,About,Course Description,Category
Question Everything: Scientific Thinking in Real Life,The University of Queensland,Beginner,https://www.edx.org/course/question-everything-scientific-thinking-in-real-li,Learn how to use math and science to solve everyday problems.,"Have you ever wondered how you can apply math and science skills to real life? Do you wish you could go beyond what you've learned in the classroom? This science course will advance your knowledge as we unpack some important scientific thinking skills using real-world examples. By completing this course, you will be better prepared to continue studying math and science at the high school level and beyond.In this course, a collaboration between The University of Queensland and Brisbane Grammar School, we will cover key scientific concepts related to:Each concept will be explored through real world examples and problems that will help you visualize how math and science work in your life.This course is ideal for high school students looking to challenge themselves and further develop an interest in math and science. It is also applicable to high school science teachers looking for additional materials for teaching. Math",Math
Introduction to Lifestyle Medicine,Doane University,Beginner,https://www.edx.org/course/introduction-to-lifestyle-medicine,Gain a basic understanding of the main components of lifestyle medicine as well as the importance of using the coach approach when counseling patients about behavior change.,"This course is credit eligible through Doane University's Open Learning Academy. The Open Learning Academy's 3-4 credit hour courses are designed to provide learners with foundational coursework for undergraduate level programs. It is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit. Lifestyle factors including poor nutrition and physical inactivity are critical determinants of health, causing a pandemic of chronic diseases, premature death and unsustainable healthcare costs. Currently, 50 percent of Americans live with one or more chronic illnesses in which diet, exercise and stress play a key role. Lifestyle Medicine is the science and application of 49 healthy lifestyles as interventions for the prevention and treatment of lifestyle-related diseases such as heart disease, diabetes, stroke, obesity, some neurological conditions and some cancers. It is the evidence-based specialty bridging the science of physical activity, nutrition, stress management and resilience; sleep hygiene and other healthy habits to individuals through clinical practice in healthcare. BIOL-212x Introduction to Lifestyle Medicine from DoaneX is a credit-eligible course. Learners have the opportunity to experience this same rigorous university-level course on a flexible schedule and earn academic credit when they pass the course with a C or better. Credit details: Number of credit hours for BIOL-212x Introduction to Lifestyle Medicine: 3 credit hours. 
Cost: $500 (USD) - pay for credit earned after passing the course with a C or better. Eligibility:  Biology & Life Sciences",Computer Science
Financial Analysis for Decision Making,Babson College,Beginner,https://www.edx.org/course/financial-analysis-for-decision-making,Learn how to analyze business opportunities for their financial viability and secure funding to start and grow your business.,"How do you find the money necessary to effectively manage your business? How do you know if a business opportunity is worthwhile? When should you invest in a stock, bond or company? Do you fear the financial side of growing your organization?This finance course will take the mystery out of financial analysis and help you make the right business decisions. In order to establish your company you need to secure funding. Once you have money, you need to determine the most efficient and effective use of your capital. You also need to have the knowledge to have professional and engaging conversations with finance professionals who control access to funding.In this course, you will discover a variety of options for funding your business and how to successfully negotiate financial opportunities. You will learn how to value and evaluate ideas to determine the appropriate benefits and costs in order to screen them correctly. Finally, you will learn how to value a business and the securities you can use to potentially fund your organization.This course is part of the Business Principles and Entrepreneurial Thought XSeries. Business & Management",Business
Building Containerized Applications on AWS,Amazon Web Services,Intermediate,https://www.edx.org/course/building-containerized-applications-on-aws,Learn how to utilize container technologies and AWS services to modernize your applications,"This course introduces you to container technologies and how they can be used to modernize your applications, as well as exploring how different AWS services can be used to manage and orchestrate those containers.Container technologies have existed for years, and are still gaining popularity. Two of the most prevalent options are Docker and Kubernetes - each with its own distinct set of features. Regardless of which technology you choose, one of the biggest challenges with containers is their orchestration. Unlike traditional, monolithic applications where you can only scale at a macro level - an executable, for example - containerized applications scale at the container level. When coupled with a microservices approach, each container can contain the code necessary to execute a single task or function. While this provides a number of benefits, a single application can consist of hundreds of containerized microservices. How do you handle starting, stopping, scaling out and scaling in all of these containers?
AWS offers a number of services that help with container orchestration, including Amazon Elastic Container Service (ECS), Amazon Elastic Kubernetes Service (EKS), Amazon Lightsail, and Amazon Elastic Container Registry (ECR). Throughout this course, expert instructors will dive deep into these services as well as general container technologies and capabilities.This course uses a combination of video-based lectures, delivered by AWS technical trainers, demonstrations, and hands-on lab exercises (Verified Learners only), to enable you to deploy and manage a containerized application. Computer Science",Computer Science
Effective Communication for Program and Project Stakeholders and Teams,"The University of Maryland, College Park-University System of Maryland",Beginner,https://www.edx.org/course/PMCOMM01,"Go beyond the communication methods you learned in the project management training. Learn how to structure your program and project communications for the most effective understanding by your stakeholders, project managers, and project teams.","“Everyone communicates, but few connect” is a famous book and message by John C. Maxwell on leadership. The meaning behind this message is that as leaders of programs and projects, we need to be not just communicators, but effective communicators.Obtaining your Project Management Professional (PMP) certification or Certified Associate in Project Management (CAPM) or similar project management certificate is the first step. But, as you gain program management and project management experience, you realize that effective communication goes beyond what you learned in ""A Guide to the Project Management Body of Knowledge"" (PMBOK). Gaining a program management certification or project management certification (such as the PMP certification) equips you with the necessary project management tools to begin your project or project management career. There is more to effective program and project communication than what is on the PMP exam.For communication from program managers and project managers to be truly effective, there must be understanding beyond what you learned from your professional certification. The communicator and the receiver must use feedback to determine how the message was received and if the communicator created the intended level of understanding in the receiver for the communication to succeed.In this course, you will learn about the Understanding Triad - know-what, know-how, and know-why. The Understanding Triad aids you in crafting just the right level of explanation for all your audiences. The Understanding Triad will make you a more effective program manager, traditional project manager, agile project manager, or certified scrum master.The Project Management Institute, Inc (PMI) teaches that project management communication is the transfer of information. The project or program manager sends messages to their project teams, stakeholders, customers, and executive sponsors. If the program manager or project manager believes that communicating a clear message is enough for good communication, then the manager may be fooled into thinking their communication efforts are complete. Even if there is feedback, the feedback is usually limited to confirming that the message was received as intended. However, communication is not merely the transmission of information. The difference can be days, months, or years of wasted time and effort; or successful, early delivery.Certified program and certified project managers earn 10 professional development units (PDU) as they learn how communication can make a difference in every interaction, and become a truly effective program or project manager. Gain the power skill of communication in this certificate program. Business & Management",Business
Buyer Behaviour and Analysis,Curtin University,Advanced,https://www.edx.org/course/buyer-behaviour-and-analysis,Learn how to analyse and apply consumer and buyer behaviour fundamentals to develop an effective marketing campaign.,"For marketers, an understanding of how a consumer selects, purchases, uses and disposes of products and services is pertinent to successfully managing the marketing function.In this course, you will learn about the role of consumer behaviour within marketing. We will discuss how this behaviour is shaped by the social and cultural environment, as well as a number of psychological factors.You will learn about decision-making processes in consumption behaviour in different buying situations. This will develop your ability to integrate marketing processes at a higher level.Concepts drawn from various disciplines such as psychology, economics and anthropology will be examined.This course is part of the CurtinX MicroMasters Credential in Marketing in a Digital World that is specifically designed to teach the critical skills needed to be successful in this exciting field. In order to qualify for the MicroMasters Credential you will need to earn a Verified Certificate in each of the five courses. Communication",Marketing
Idea Development: Create and Implement Innovative Ideas,The University of Queensland,Intermediate,https://www.edx.org/course/idea-development-create-and-implement-innovative-i,Learn the strategies entrepreneurs and organizations use to create and bring to market innovative ideas.,"To create and bring to market innovative ideas, entrepreneurs invest substantial resources in their creation without being certain their idea will be successful. How do entrepreneurs manage this process? What strategies do they use? What role does the innovativeness of their ideas play in the strategies they adopt? How do they maintain motivation when faced with setbacks? In this course, we tackle these questions by focusing on: • Types of innovationsand their market impact;
• The importance of taking action, knowledge, learning and resources in the creation of innovative ideas;
• How entrepreneurs make strategic decisions under uncertainty;
• The Management of intellectual property; and
• Maintaining motivation in the face of setbacks By drawing on the case of Google Glass, their own experiences and ideas, students are encouraged to synthesize knowledge from each Module to gain an in-depth understanding of the complexity of innovation process.• How to come up with innovative ideas you are uniquely position to create and bring to market
• Strategies for managing uncertainty in the creation and implementation of innovative ideas
• How to learn from setbacks and maintain the motivation to persevere when experiencing them
• How ideas and other forms of intellectual property can be protected. Business & Management",Business
Analysis of Transport Phenomena I: Mathematical Methods,Massachusetts Institute of Technology,Advanced,https://www.edx.org/course/analysis-of-transport-phenomena-i-mathematical-met,"Graduate-level introduction to mathematical modeling of diffusion, convection, and chemical reactions.","In this course, you will learn how to formulate models of reaction-convection-diffusion based on partial differential equations and to solve them the old-fashioned way, by pencil and paper. You will also learn the art of approximation—how to obtain useful solutions by simplifying a model without sacrificing the key physics. At MIT, 10.50 is a required subject for all first-year graduate students in chemical engineering, but it also attracts students from other departments. This online course is suitable for anyone interested in learning the principles of continuum modeling. Although the examples are mostly from chemical engineering, no prior knowledge is assumed, beyond basic undergraduate applied mathematics. The modeling concepts and mathematical methods you learn in this course will advance your career in industry or academics. While your friends and co-workers may be able to run an experiment or computer simulation, you will also be able to derive simple formulae to explain the data and guide rational design. There is growing demand for such mathematical skills in most technical careers and graduate programs today. Attribution:By Kevin R Johnson, CC-BY-SA-3.0 (http://creativecommons.org/licenses/by-sa/3.0/), via Wikimedia Commons. Engineering",Math
Leading the Organization,The University of Queensland,Intermediate,https://www.edx.org/course/leading-the-organization,"Learn effective strategies for developing, articulating, and implementing organizational change initiatives that can help lead your organization to success.","This course is intended for professionals and managers seeking new leadership responsibilities, those transitioning between leadership roles or organizations, as well as current leaders of organizations. Our faculty and industry experts will teach you the critical concepts to help you better understand, operate, and thrive in leadership roles in your organization.We will challenge you to apply your learning in a realistic simulation based on real world leadership experiences. Key topics include:Learn through a team of award-winning UQ Business School faculty and instructors with decades of experience in both leadership scholarship and demanding leadership positions. Through a series of engaging videos, interviews, case studies, written reflections, peer feedback, and other self-insight activities, learners will develop their capacity for implementing meaningful organizational change. Business & Management",Business
"Financial Programming and Policies, Part 2: Program Design",The International Monetary Fund,Intermediate,https://www.edx.org/course/financial-programming-and-policies-part-2-progra-2,Learn how to forecast macroeconomic accounts and design an economic program for a case study country.,"In this macroeconomics course, you will improve your skills in macroeconomic policy analysis and learn to design an economic and financial program, using real economic data. The financial programming exercise simulates what IMF (International Monetary Fund) desk economists routinely do in their country surveillance and program work.In the first part of the course (modules 1–7), you will analyze the economic outlook of a country case and then help to build a baseline scenario — namely, a set of projections for the main macroeconomic sectors (real, external, government and monetary) that reflects the analyst’s best guess of what will happen to the economy in the coming year, assuming no policy change.In the second part (modules 8–10), you will learn and discuss how macroeconomic policies can be used to address poor performance and reduce macroeconomic imbalances. We will illustrate the workings of monetary, fiscal and exchange rate policies by using a simple Keynesian model of an open economy. In the final module you will design an IMF–supported lending program scenario for our country case.Financial Programming and Policies, Part 2 is offered by the IMF with financial support from the Government of Japan. Economics & Finance",Computer Science
Introduction to Open Source Networking Technologies,The Linux Foundation,Beginner,https://www.edx.org/course/introduction-to-open-source-networking-technologie,"Learn technical fundamentals needed to adopt SDN, NFV, disaggregation, orchestration, network automation, and modern networking. Discover use cases and technical options for open networking. Plus: learn more about The Linux Foundation networking projects.","Explore open source networking projects, from The Linux Foundation and beyond, that are shaping the future of networking and telecoms. Designed for open source enthusiasts, university students,network architects and engineers, security architects and engineers, and systems engineers, this course offers a great introduction to open source networking. This course covers the open networking stack from top to bottom; starting from networking hardware disaggregation and modern 100G and 400G switches, through network operating systems, network controllers, virtualization,and orchestration. Develop an understanding of the use cases and technical options for modern open networking in enterprises, service providers, and cloud providers. Become familiar with the following open source networking projects and their use cases:  Computer Science",Computer Science
Deep Learning Essentials,Université de Montréal,Intermediate,https://www.edx.org/course/deep-learning-essentials,"Do you want to learn how machines can learn tasks we thought only human brains could perform? Then take this Deep Learning course developed by IVADO, Mila and Université de Montréal: an extensive overview of the essentials of deep learning, this ground-breaking technology already prevalent in our lives and spanning all sectors.","Gain a good understanding of what Deep Learning is, what types of problems it resolves, and what are the fundamental concepts and methods it entails. The course developed by IVADO, Mila and Université de Montréal offers diversified learning tools for you to fully grasp the extent of this ground-breaking cross-cutting technology, a critical need in the field.IVADO, a scientific and economic data science hub bridging industrial, academic and government partners with expertise in digital intelligence designed the course, and the world-renowned Mila, rallying researchers specialized in Deep Learning, created the content. Mila’s founder and IVADO’s scientific director, Yoshua Bengio, also a professor at Université de Montréal, is a world-leading expert in artificial intelligence and a pioneer in deep learning as well as the scientific director of this course. He is also a joint recipient of the 2018 A.M. Turing Award, “the Nobel Prize of Computing”, for conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.Deep Learning is an extension of Machine Learning where machines can learn by experience without human intervention. It is largely influenced by the human brain in the fact that algorithms, or artificial neural networks, are able to learn from massive amounts of data and acquire skills that a human brain would. Thus, Deep learning is now able to tackle a large variety of tasks that were considered out of reach a few years ago in computer vision, signal processing, natural language processing, robotics, and sequential decision-making. Because of these recent advances, various industries are now deploying deep learning models that impact various economic sectors such as transport, health, finance, energy, as well as our daily life in general.If you are a professional, a scientist or an academic with basic knowledge in mathematics and programming, this MOOC is designed for you! Atop the rich Deep Learning content, discover issues of bias and discrimination in machine learning and benefit from this sociotechnical topic that has proven to be a great eye-opener for many.At the end of the MOOC, participants should be able to: Computer Science",Computer Science
Teaching & Learning in the Diverse Classroom,Cornell University,Beginner,https://www.edx.org/course/teaching-learning-in-the-diverse-classroom,"Through real stories, reflection, and key research, learn how to create and sustain inclusive, student-centered learning environments.","U.S.-based and higher education-centered, this is a five-week, instructor-paced course that offers an inclusive teaching framework with multiple entry points for reflection and exploration of the research on learning and diversity. Anchored in the lived experiences of students and faculty, including yours, we invite you to explore strategies for inclusive course design, student-centered pedagogical practices, facilitating learning across difference, and change efforts that support student engagement, achievement, and belongingness. Come with a course of your own in mind, and design for inclusion as you make your way through Teaching & Learning in the Diverse Classroom.You will explore:The research on MOOCs is clear that “taking the course with a friend” increases motivation to complete. If you are planning to form a learning community to take the course as a cohort, request our facilitator's guide.If you complete the course, successfully, you will be able to: Education & Teacher Training",Design
Migrating to the AWS Cloud,Amazon Web Services,Intermediate,https://www.edx.org/course/migrating-to-the-aws-cloud,Learn how to migrate your on-premises applications and workloads to the AWS Cloud,"This four week course focuses on migrating workloads to AWS. We will focus on analyzing your current environment, planning your migration, and discussing the actual migration steps. We will also survey AWS tools and services that will accelerate your migration to AWS.Hands-on labs are available, though not required for this class. Access to the labs is limited to paid enrolled students. You can audit this course without taking the labs. As we dive into each of the services covered in this class, there will be links to documentation where you can find example applications and code samples. Computer Science",Computer Science
IoT Networks and Protocols,Curtin University,Beginner,https://www.edx.org/course/iot-networks-and-protocols,Learn about IoT networks and the protocols and standards associated with the Internet and how these apply to the IoT.,"The Internet of Things (IoT) is expanding at a rapid rate, and it is becoming increasingly important for professionals to understand what it is, how it works, and how to harness its power to improve your business.In this course we will focus on how the IoT works. You will learn about IoT networks and explore how ‘things’ connect to it, including whether the connection and processing is local (fog) or remote (cloud).We will explore data networks, connection types, layer models and analyze IoT protocols and standards.You’ll also learn how to evaluate different infrastructure components and network systems, and how to go about designing a basic network for your own IoT ideas. Computer Science",Business
Quantum Mechanics: A First Course,Massachusetts Institute of Technology,Advanced,https://www.edx.org/course/quantum-mechanics-a-first-course,"Learn about wavefunctions and their probabilistic interpretation, how to solve the Schrödinger equation for a particle moving in one-dimensional potentials, scattering, central potentials, and the hydrogen atom.","In this quantum physics course you will learn the basics of quantum mechanics. We begin with de Broglie waves, the wavefunction, and its probability interpretation. We then introduce the Schrodinger equation, inner products, and Hermitian operators. We also study the time-evolution of wave-packets, Ehrenfest’s theorem, and uncertainty relations.Next we return to the Schrodinger equation, solving it for important classes of one-dimensional potentials. We study the associated energy eigenstates and bound states. The harmonic oscillator is solved using the differential equation as well as algebraically, using creation and annihilation operators. We discuss barrier penetration and the Ramsauer-Townsend effect.Finally, you will learn the basic concepts of scattering – phase-shifts, time delays, Levinson’s theorem, and resonances – in the simple context of one-dimensional problems. We then turn to the study of angular momentum and the motion of particles in three-dimensional central potentials. We learn about the radial equation and study the case of the hydrogen atom in detail.This course is based on MIT 8.04: Quantum Mechanics I. At MIT, 8.04 is the first of a three-course sequence in Quantum Mechanics, a cornerstone in the education of physics majors that prepares them for advanced and specialized studies in any field related to quantum physics.After completing 8.04x, you will be ready to tackle the Mastering Quantum Mechanics course on edX, which will be available in Spring 2021. Physics",Math
Urban Sewage Treatment,Delft University of Technology,Intermediate,https://www.edx.org/course/urban-sewage-treatment-2,"Learn about urban water services, focusing on basic sewage treatment technologies.","This course will focus on basic technologies for the treatment of urban sewage. Unit processes involved in the treatment chain will be described as well as the physical, chemical and biological processes involved. There will be an emphasis on water quality and the functionality of each unit process within the treatment chain. After the course one should be able to recognise the process units, describe their function and make simple design calculations on urban sewage treatment plants.The course consists of 6 modules:This course in combination with the courses ""Introduction to Water and Climate"" and ""Introduction to Drinking Water Treatment"" forms the Water XSeries, by DelftX. Engineering",Design
Quantitative Marketing Research,Indian Institute of Management Bangalore,Beginner,https://www.edx.org/course/quantitative-marketing-research,"Learn how to design a quantitative market research project, and implement specific methods, interpret data and come up with marketing decisions.","Marketing research is crucial to marketing managers, as it helps answer crucial marketing questions using data. In this course, we introduce quantitative marketing research techniques in conjunction with key marketing concepts. The participant is introduced to the design, implementation and interpretation of quantitative market research projects. The participant is introduced to the concept of value and willingness-to-pay, along with how to use auctions to estimate this. We then cover conjoint analysis, where the concept of value as a function of different attributes is discussed. We then move on to cluster analysis, where we discuss market segmentation based on different value propositions that different customers may seek. Finally, we discuss ethical issues in marketing research, going beyond its technical aspects. Business & Management",Marketing
"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",Delft University of Technology,Intermediate,https://www.edx.org/course/automated-software-testing-unit-testing-coverage-2,"Learn the software testing techniques, tools, and best practices required to deliver high-quality software.","Software testinggets a bad rap for being difficult, time-consuming, redundant, and above all - boring. But in fact, it is a proven way to ensure that your software will work flawlessly andcan meet release schedules. In a two-course series, we will teach you automated software testing in an inspiring way. We will show you that testing is not as daunting a task as you might think, and how automated testing will make you a better developer who programs excellent software. This first course will teach you specification-based testing, boundary testing, test adequacy and code coverage, unit vs system testing, mock objects, design for testability, and test code quality. This is a highly practical course. Throughout the lessons, you will test various programs by means of different techniques. By the end, you will be able to choose the best testing strategies for different projects. If you are or want to become a five-star software developer, QA engineer, or software tester, join this course. Testing will never be the same again! Computer Science",Computer Science
Probability and Statistics I:  A Gentle Introduction to Probability,The Georgia Institute of Technology,Intermediate,https://www.edx.org/course/probability-and-statistics-i-a-gentle-introduction-to-probability,"This course provides an introduction to basic probability concepts. Our emphasis is on applications in science and engineering, with the goal of enhancing modeling and analysis skills for a variety of real-world problems.","This course provides an introduction to basic probability concepts. Our emphasis is on applications in science and engineering, with the goal of enhancing modeling and analysis skills for a variety of real-world problems. In order to make the course completely self-contained (and to bring back long-lost memories), we’ll start off with Bootcamp lessons to review concepts from set theory and calculus. We’ll then discuss the probability axioms that serve as the basis for all of our subsequent work – what makes probability tick? That discussion will give us the tools to study elementary probability counting rules, including permutations and combinations. We’ll use these rules to work on various cool applications, including poker probability calculations and baseball line-ups!The next venues on our tour are the concepts of independence and conditional probability, which allow us to see how the probabilities of different events are related to each other, and how new information can be used to update probabilities. The course culminates in a discussion of Bayes Rule and its various interesting consequences related to probability updates.Upon completion of this course, learners will be able to:• Review Bootcamp lessons based on set theory and calculus
• Identify underlying probability axioms
• Apply elementary probability counting rules, including permutations and combinations
• Recall the concepts of independence and conditional probability
• Determine how to update probabilities via Bayes Rule Data Analysis & Statistics",Math
Agile Mindset Introduction,Rolls-Royce,Beginner,https://www.edx.org/course/agile-mindset-introduction,"This is a brief introduction about what agile mindset is , its values and understanding how you can use agile practises at your work. This also leads the way to take the next steps on continuing your agile journey.","Having an ‘agile mindset’ is all about embracing a mentality or approach that believes in adapting to change, learning through failures and encouraging feedback to bring in consistent improvement. Agile attitude is all about learning and continual improvement to attain milestones in business.Basically, there is a conceptual difference between ‘Doing Agile’ & ‘Being Agile’. Practicing agile is actually ‘Doing Agile’ and having an agile mindset is all about ‘Being Agile’.Basically, there is a conceptual difference between ‘Doing Agile’ & ‘Being Agile’. Practicing agile is actually ‘Doing Agile’ and having an agile mindset is all about ‘Being Agile’.Fostering an agile culture in an organization is a continual and ongoing process of driving change in behavioral norms to develop an agile mindset.This short course will introduce an agile mindset and how it is being implemented and fostered across Rolls-Royce.By the end of this session you will be able to: Data Analysis & Statistics",Business
Autonomous Mobile Robots,ETH Zurich,Intermediate,https://www.edx.org/course/autonomous-mobile-robots,"Basic concepts and algorithms for locomotion, perception, and intelligent navigation.","Robots are rapidly evolving from factory workhorses, which are physically bound to their work-cells, to increasingly complex machines capable of performing challenging tasks in our daily environment. The objective of this course is to provide the basic concepts and algorithms required to develop mobile robots that act autonomously in complex environments. The main emphasis is put on mobile robot locomotion and kinematics, environment perception, probabilistic map based localization and mapping, and motion planning. The lectures and exercises of this course introduce several types of robots such as wheeled robots, legged robots and drones.This lecture closely follows the textbook Introduction to Autonomous Mobile Robots by Roland Siegwart, Illah Nourbakhsh, Davide Scaramuzza, The MIT Press, second edition 2011. Computer Science",Computer Science
Introduction to Statistical Methods for Gene Mapping,Kyoto University,Advanced,https://www.edx.org/course/introduction-to-statistical-methods-for-gene-mappi,Learn about statistical methods used to identify genetic variants responsible for phenotypes.,"This data course is a primer to statistical genetics and covers an approach called linkage disequilibrium mapping, which analyzes non-familial data and has been successfully used to identify genetic variants associated with common and complex genetic traits.We hope many students find this Beginner course interesting and are motivated to study further topics in statistical genetics to understand biological variation from statistical standpoints.Previous knowledge of molecular genetics and basic statistical concepts, such as statistical tests and estimation, is required. Basic knowledge on genetic variations is offered at the start of the course. Data Analysis & Statistics",Data Analytics
Mandarin Chinese Level 3,MandarinX,Intermediate,https://www.edx.org/course/mandarin-chinese-level-3,Advance your Mandarin Chinese by tackling different topics in dynamic business scenarios with extensive vocabulary and compound sentence structures.,"Drawing from the skills you developed inpreviouscourses in this series, you will learn how to address yourself more properly in different business circumstances. In Mandarin Chinese Level 3, you will advance your Mandarin Chinese with extensive vocabulary and complex sentence structures based on dynamic business scenarios. You will not only learn to respond correctly but also to deliver your point of view and convey a clear idea in Mandarin Chinese. If you enroll in the verified track, you will be able to participate in the Webinar lectured by Dr. Estella Y. Chen, who will lead the discussion with a wide variety of popular topics to accompany you to the world of chinese business culture and trend. What's more, in the verified track, we'll give you three pronunciation lessons that will help you communicate more smoothly and effectively in a business environment. Previous knowledge of Mandarin Chinese is needed. Language",Business
Databases: Advanced Topics in SQL,Stanford University,Beginner,https://www.edx.org/course/advanced-topics-in-sql,"This course is one of five self-paced courses on the topic of Databases, originating as one of Stanford's three inaugural massive open online courses released in the fall of 2011. The original ""Databases"" courses are now all available on edx.org.","About the Database Series of Courses""Databases"" was one of Stanford's three inaugural massive open online courses in the fall of 2011. It has been offered in synchronous and then in self-paced versions on a variety of platforms continuously since 2011. The material is now being offered as a set of five self-paced courses, which can be taken in a variety of ways to learn about different aspects of databases. Relational Databases and SQL is the most popular course in the Databases series. It is applicable to learners seeking to gain a strong understanding of relational databases, and to master SQL, the long-accepted standard query language for relational database systems. Additional courses focus on advanced concepts in relational databases and SQL, formal foundations and database design methodologies, and semistructured data.All of the courses are based around video lectures and demos. Many of them include quizzes between video segments to check understanding, in-depth standalone quizzes, and/or a variety of automatically-checked interactive exercises. Each course also includes an unmoderated discussion forum and pointers to readings and resources. The courses are described briefly below. Taught by Professor Jennifer Widom, the overall curriculum draws from Stanford's popular longstanding Databases course.Why Learn About DatabasesDatabases are incredibly prevalent -- they underlie technology used by most people every day if not every hour. Databases reside behind a huge number of websites; they're a crucial component of telecommunications systems, banking systems, video games, and just about any other software system or electronic device that maintains some amount of persistent information. In addition to persistence, database systems provide a number of other properties that make them exceptionally useful and convenient: reliability, efficiency, scalability, concurrency control, data abstractions, and high-level query languages. Databases are so ubiquitous and important that computer science graduates frequently cite their database class as the one most useful to them in their industry or graduate-school careers.Stanford's online offering in Databases is now available as a set of five self-paced courses:Databases: Relational Databases and SQLDatabases: Advanced Topics in SQL (prerequisite: Relational Databases and SQL)Databases: OLAP and RecursionDatabases: Modeling and TheoryDatabases: Semistructured Data Computer Science",Data Analytics
Data for Effective Policy Making,Inter-American Development Bank,Beginner,https://www.edx.org/course/data-for-effective-policy-making,"Take control of data and gain a better understanding of the tools used in public policy planning, management, and evaluation.","In this age of information, data is available everywhere and grows at an exponential rate. How can we make sense of all this data?, how do we take advantage of data when making decisions?, how do we use data to help us guide the management and planning of our policies?Whether you are a citizen or a policymaker, learning the answers to these questions can benefit you greatly.In this course, you will strengthen your ability to use, understand, and interpret data. Using the ""Numbers for Development"" and ""Caribbean Data Portal"" platforms developed by the IDB - which presents data and socioeconomic indicators from the Latin American and Caribbean region - you will be able to understand how to improve the decision-making process in public management.At the end of the course, you will have gained the tools to navigate data, perform and interpret visualizations, and understand the different types of data analysis according to the policy to be implemented.Relax, it's not a statistics course! However, you will acquire the knowledge necessary to interpret graphs, statistical reports, and understand their language. And, most importantly, you will learn the foundations to be able to base your decisions on verifiable data, beyond intuition.The course is based on real-life examples so that you can understand the different concepts and methodologies in a simple, practical, and enjoyable way. Using various useful activities, you will be able to apply the acquired knowledge and practice with data and graphs. Also, we will show you real IDB cases to promote analysis and present the realities to which experts from the region and the Caribbean are exposed. You will also face some creative challenges that will allow you to measure your abilities on a higher level of difficulty.The course has readings and videos that enable you to generate a better understanding of course topics and participate in the discussion forums with a strong basis; open up areas for discussion with your colleagues around the issues and challenges raised during the course.84% of students have stated that the course content has helped them improve their ability to formulate, implement, and/or evaluate public policies.Finally, this course is ""self-paced"". It means that if you choose to pay for the verified certificate, you will be able to take the course in a maximum term of about three months, from April 2 to December 18, 2020.IMPORTANT: You can choose between auditing the course or obtaining a verified certificate. If you take the ""Audit"" option, you will have free access to all course materials for ten weeks, but you will not be able to participate in the assessment activities. If you'd instead obtain a verified certificate, you will have access to the assessment activities until the closing date of the course, and you will be able to view the course materials for an unlimited time.By the end of this course, you will be able to: Math",Data Analytics
C Programming: Using Linux Tools and Libraries,Dartmouth_IMTx-Dartmouth College-IMT,Intermediate,https://www.edx.org/course/c-programming-using-linux-tools-and-libraries,Learn how to use professional tools and libraries to write and build C programs within the Linux operating system. Receive instant feedback on your code right within your browser.,"This seventh and final course in the C Programming with Linux Professional Certificate program will allow you to develop and use your C code within the Linux operating system. Using libraries in C is a fundamental concept when it comes to sharing code with others. In addition to compiling and linking, you will also learn how to pass arguments to an executable program. Within moments you will be coding hands-on in a new browser tool developed for this course providing instant feedback on your code. No need to install anything! As you embark on your future career as a programmer, you will be able to continue your coding adventures with professional coding environments used by C programmers around the world. At the end of this short course, you will have completed the C Programming with Linux Professional Certificate program, unlocking the door to a career in computer engineering. This course has received financial support from the Patrick & Lina Drahi Foundation. Computer Science",Computer Science
Cybersecurity: The CISO's View,University of Washington,Beginner,https://www.edx.org/course/cybersecurity-the-cisos-view,Learn about cybersecurity operations and the role played by the Chief Information Security Officer (CISO) in the industry.,"The Chief Information Security Officer (CISO) in any given organization serves a leadership position, protecting the data and digital systems that a company’s employees as well as its customers depend upon.This course delves into the role that the CISO plays in cybersecurity operations.Throughout the lessons, learners will explore answers to the following questions: How does cybersecurity work across industries? What is the professionals' point of view? How do we keep information secure?Coursework will fully explore the CISO’s view from the top, as well as the position’s toolkit, which includes policy, procedures and practices, technologies, awareness training, and audit. It will also dive into the approaches taken in private industry, government, academia, and the military.By the end of this course, you will be able to: Computer Science",Computer Science
